Kingdom	Pyhlum	Class	Order	Family	Genus	Species	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfuromonadales	Syntrophotaleaceae	Syntrophotalea	12	0.00000	0	0.00000	13	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Cyanobacteria/Melainabacteria group	Cyanobacteria	Synechococcales	Synechococcaceae	Synechococcus	0	0.00000	0	0.00000	22	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae	Oceanisphaera	Oceanisphaera profunda	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	18	0.00011	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Azoarcus	unclassified Azoarcus	0	0.00000	0	0.00000	28	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	0	0.00000	0	0.00000	0	0.00000	0	0.00000	89	0.00001	0	0.00000	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae	0	0.00000	31	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	59	0.00001	0	0.00000	510	0.00015	187	0.00004	0	0.00000	0	0.00000	0	0.00000
Varidnaviria	Bamfordvirae	Nucleocytoviricota	Megaviricetes	Algavirales	Phycodnaviridae	unclassified Phycodnaviridae	144	0.00003	0	0.00000	60	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	90	0.00002	0	0.00000	245	0.00007	0	0.00000	0	0.00000	0	0.00000	93	0.00002
Bacteria	Proteobacteria	Alphaproteobacteria	Pelagibacterales	Candidatus Fonsibacter	Candidatus Fonsibacter ubiquis	N/A	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	0	0.00000	0	0.00000	736	0.00021	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Planococcaceae	Planococcus	806	0.00020	0	0.00000	98	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Bacillaceae	Anoxybacillus	99	0.00002	0	0.00000	129	0.00004	237	0.00005	119	0.00002	0	0.00000	179	0.00003
Bacteria	Proteobacteria	Gammaproteobacteria	Xanthomonadales	Xanthomonadaceae	Xylella	Xylella fastidiosa	0	0.00000	0	0.00000	32	0.00001	448	0.00009	2814	0.00042	0	0.00000	48987	0.00933
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	917	0.00022	0	0.00000	604	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium	11382	0.00276	4397	0.00045	9950	0.00286	3493	0.00070	4629	0.00069	231	0.00141	16848	0.00321
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Micrococcales	Microbacteriaceae	Luna cluster	0	0.00000	0	0.00000	157	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Clostridia	Clostridiales	Peptococcaceae	Desulfosporosinus	13149	0.00318	28549	0.00293	334678	0.09624	53075	0.01064	5948	0.00089	19	0.00012	20720	0.00395
Bacteria	Terrabacteria group	Firmicutes	Clostridia	Thermoanaerobacterales	Thermoanaerobacteraceae	Thermanaeromonas	156	0.00004	0	0.00000	822	0.00024	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methylobacteriaceae	Methylobacterium	unclassified Methylobacterium	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Alcaligenaceae	Achromobacter	Achromobacter xylosoxidans	463	0.00011	1329	0.00014	0	0.00000	0	0.00000	3609847	0.53946	0	0.00000	1259	0.00024
Bacteria	Acidobacteria	Acidobacteriia	Acidobacteriales	Acidobacteriaceae	Acidisarcina	Acidisarcina polymorpha	54	0.00001	20	0.00000	217	0.00006	138	0.00003	150	0.00002	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces	0	0.00000	0	0.00000	178	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Duplodnaviria	Heunggongvirae	Uroviricota	Caudoviricetes	Caudovirales	Siphoviridae	Cheoctovirus	376	0.00009	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteria	Proteobacteria	delta/epsilon subdivisions	Deltaproteobacteria	Desulfurellales	Desulfurellaceae	Desulfurella	65	0.00002	82	0.00001	338	0.00010	0	0.00000	0	0.00000	0	0.00000	62	0.00001
Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	Tatlockia	Tatlockia micdadei	143	0.00003	0	0.00000	46	0.00001	22	0.00000	641	0.00010	0	0.00000	0	0.00000
Bacteria	Terrabacteria group	Firmicutes	Bacilli	Bacillales	Paenibacillaceae	Paenibacillus	22	0.00001	0	0.00000	1322	0.00038	0	0.00000	0	0.00000	159	0.00097	0	0.00000
Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	unclassified Psychrobacter	0	0.00000	0	0.00000	0	0.00000	75	0.00002	0	0.00000	162	0.00099	0	0.00000
Bacteria	FCB group	Bacteroidetes/Chlorobi group	Bacteroidetes	Cytophagia	Cytophagales	Cyclobacteriaceae	175	0.00004	0	0.00000	96	0.00003	0	0.00000	0	0.00000	0	0.00000	0	0.00000
