OTUs	Lineage
142	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rickettsiales;f_Anaplasmataceae;g_Ehrlichia;s_Unclassified__Ehrlichia
143	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Cyanobacteria/Melainabacteria__Group;o_Cyanobacteria;f_Synechococcales;g_Leptolyngbyaceae;s_Leptolyngbya
144	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Bacteroidia;g_Bacteroidales;s_Prevotellaceae
145	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Alteromonas;s_Alteromonas__Pelagimontana
146	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Clostridiaceae;s_Caloranaerobacter
147	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Corynebacteriales;g_Nocardiaceae;s_Rhodococcus
148	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Cytophagaceae
149	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Corynebacteriales;g_Corynebacteriaceae;s_Corynebacterium
150	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Lachnospiraceae;s_Cellulosilyticum
151	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Actinobacteria;o_Actinomycetia;f_Streptomycetales;g_Streptomycetaceae;s_Streptomyces
152	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Paraglaciecola;s_Unclassified__Paraglaciecola
153	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Shewanellaceae;g_Shewanella;s_Shewanella__Chilikensis
154	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae
155	r_Root;k_Bacteria;p_Fcb__Group;c_Bacteroidetes/Chlorobi__Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae
156	r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Bradyrhizobiaceae;g_Bradyrhizobium;s_Bradyrhizobium__Erythrophlei
157	r_Root;k_Varidnaviria;p_Bamfordvirae;c_Nucleocytoviricota;o_Megaviricetes;f_Imitervirales;g_Mimiviridae;s_Unclassified__Mimiviridae
158	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Cellvibrionales;f_Microbulbiferaceae;g_Microbulbifer;s_Unclassified__Microbulbifer
159	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Thermoanaerobacterales;g_Thermoanaerobacterales__Family__Iii.__Incertae__Sedis;s_Thermoanaerobacterium
160	r_Root;k_Bacteria;p_Proteobacteria;c_Betaproteobacteria;o_Neisseriales;f_Neisseriaceae;g_Neisseria;s_Neisseria__Sicca
161	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Christensenellaceae;s_Christensenella
162	r_Root;k_Bacteria;p_Terrabacteria__Group;c_Firmicutes;o_Bacilli;f_Bacillales;g_Staphylococcaceae;s_Staphylococcus
163	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Vibrionales;f_Vibrionaceae;g_Vibrio;s_Vibrio__Harveyi__Group
164	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Morganellaceae;g_Photorhabdus;s_Photorhabdus__Laumondii
165	r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Moraxellaceae;g_Psychrobacter;s_Psychrobacter__Urativorans
