lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Rhizobiaceae;g_Rhizobium/Agrobacterium_Group;s_Neorhizobium	136	0.00003	0	0.00000	128	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Clostridia;f_Halanaerobiales;g_Halobacteroidaceae;s_Halobacteroides	330	0.00008	837	0.00009	1957	0.00056	0	0.00000	95	0.00001	104	0.00064	11	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Cyanobacteria/Melainabacteria_Group;o_Cyanobacteria;f_Synechococcales;g_Synechococcaceae;s_Synechococcus	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	28	0.00001
r_Root;k_Bacteria;p_Synergistetes;c_Synergistia;o_Synergistales;f_Synergistaceae;g_Thermovirga;s_Thermovirga_Lienii	22	0.00001	20	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Cytophagia;g_Cytophagales;s_Hymenobacteraceae	15	0.00000	0	0.00000	16	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Micrococcales;g_Microbacteriaceae;s_Rathayibacter	27	0.00001	0	0.00000	34	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Streptomycetales;g_Streptomycetaceae;s_Streptomyces	0	0.00000	0	0.00000	0	0.00000	63	0.00001	0	0.00000	0	0.00000	27	0.00001
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Corynebacteriales;g_Gordoniaceae;s_Gordonia	35	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Alteromonadaceae;g_Salinimonas;s_Unclassified_Salinimonas	0	0.00000	11	0.00000	637	0.00018	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Chitinophagia;g_Chitinophagales;s_Chitinophagaceae	46	0.00001	0	0.00000	2523	0.00073	0	0.00000	35	0.00001	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Legionellales;f_Legionellaceae;g_Legionella;s_Legionella_Adelaidensis	526	0.00013	0	0.00000	88	0.00003	0	0.00000	293	0.00004	0	0.00000	39	0.00001
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhizobiales;f_Methylobacteriaceae;g_Microvirga;s_Microvirga_Thermotolerans	286	0.00007	0	0.00000	62	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Pseudomonas;s_Pseudomonas_Syringae_Group	0	0.00000	0	0.00000	62	0.00002	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Alphaproteobacteria;o_Rhodospirillales;f_Rhodospirillaceae;g_Magnetospirillum;s_Magnetospirillum_Gryphiswaldense	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Flavobacteriaceae	163	0.00004	0	0.00000	303	0.00009	0	0.00000	174	0.00003	0	0.00000	528	0.00010
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Pectobacteriaceae;g_Dickeya;s_Dickeya_Poaceiphila	0	0.00000	0	0.00000	215	0.00006	32	0.00001	7398	0.00111	0	0.00000	42	0.00001
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Pseudomonadales;f_Pseudomonadaceae;g_Entomomonas;s_Unclassified_Entomomonas	221	0.00005	0	0.00000	93	0.00003	193	0.00004	0	0.00000	0	0.00000	178	0.00003
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Clostridia;f_Clostridiales;g_Peptostreptococcaceae;s_Peptoclostridium	943	0.00023	162005	0.01664	5349	0.00154	0	0.00000	52	0.00001	0	0.00000	666	0.00013
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Actinobacteria;o_Actinomycetia;f_Pseudonocardiales;g_Pseudonocardiaceae;s_Amycolatopsis	12	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Pseudoalteromonadaceae;g_Pseudoalteromonas;s_Unclassified_Pseudoalteromonas	42	0.00001	0	0.00000	545	0.00016	0	0.00000	0	0.00000	0	0.00000	129	0.00002
r_Root;k_Bacteria;p_Fcb_Group;c_Bacteroidetes/Chlorobi_Group;o_Bacteroidetes;f_Flavobacteriia;g_Flavobacteriales;s_Weeksellaceae	38	0.00001	0	0.00000	994	0.00029	0	0.00000	0	0.00000	0	0.00000	39	0.00001
r_Root;k_Bacteria;p_Terrabacteria_Group;c_Firmicutes;o_Clostridia;f_Thermoanaerobacterales;g_Thermoanaerobacterales_Family_Iii._Incertae_Sedis;s_Caldicellulosiruptor	68	0.00002	35	0.00000	274	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Varidnaviria;p_Bamfordvirae;c_Nucleocytoviricota;o_Pokkesviricetes;f_Chitovirales;g_Poxviridae;s_Entomopoxvirinae	10	0.00000	0	0.00000	29	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Delta/Epsilon_Subdivisions;o_Deltaproteobacteria;f_Desulfuromonadales;g_Syntrophotaleaceae;s_Syntrophotalea	61	0.00001	0	0.00000	17	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Enterobacterales;f_Enterobacteriaceae;g_Pseudescherichia;s_Pseudescherichia_Vulneris	0	0.00000	0	0.00000	14	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;k_Bacteria;p_Proteobacteria;c_Gammaproteobacteria;o_Alteromonadales;f_Colwelliaceae;g_Colwellia;s_Unclassified_Colwellia	55	0.00001	0	0.00000	399	0.00011	0	0.00000	1467	0.00022	0	0.00000	99	0.00002
