lineage	N2_num	N2_frac	N3_num	N3_frac	N4_num	N4_frac	E1_num	E1_frac	E3_num	E3_frac	E4_num	E4_frac	E5_num	E5_frac
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Rhodospirillales;g_Acetobacteraceae;s_Acetobacter	692	0.00017	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Thiotrichales;g_Francisellaceae;s_Allofrancisella	0	0.00000	11	0.00000	16	0.00000	0	0.00000	35	0.00001	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Bacilli;g_Bacillales;s_Bacillaceae	0	0.00000	0	0.00000	151	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Fcb_Group;o_Bacteroidetes/Chlorobi_Group;f_Bacteroidetes;g_Cytophagia;s_Cytophagales	0	0.00000	0	0.00000	25	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Actinobacteria;f_Actinomycetia;g_Bifidobacteriales;s_Bifidobacteriaceae	525	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	93	0.00002
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Bacilli;g_Bacillales;s_Paenibacillaceae	378	0.00009	8083	0.00083	176	0.00005	102	0.00002	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Spirochaetes;o_Spirochaetia;f_Leptospirales;g_Leptospiraceae;s_Leptospira	404	0.00010	0	0.00000	53	0.00002	0	0.00000	0	0.00000	0	0.00000	129	0.00002
r_Root;p_Bacteria;c_Proteobacteria;o_Gammaproteobacteria;f_Xanthomonadales;g_Rhodanobacteraceae;s_Dyella	0	0.00000	0	0.00000	21	0.00001	16	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Baculoviridae;c_Alphabaculovirus;o_Choristoneura_Fumiferana_Multiple_Nucleopolyhedrovirus	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	105	0.00064	0	0.00000
r_Root;p_Bacteria;c_Terrabacteria_Group;o_Firmicutes;f_Clostridia;g_Clostridiales;s_Eubacteriaceae	173	0.00004	61	0.00001	1173	0.00034	0	0.00000	80	0.00001	510	0.00312	3320	0.00063
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Rhodobacterales;g_Rhodobacteraceae;s_Rhodobaca	0	0.00000	193	0.00002	23	0.00001	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Fcb_Group;o_Bacteroidetes/Chlorobi_Group;f_Bacteroidetes;g_Cytophagia;s_Cytophagales	152	0.00004	0	0.00000	156	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
r_Root;p_Bacteria;c_Proteobacteria;o_Alphaproteobacteria;f_Rhizobiales;g_Rhizobiaceae;s_Rhizobium/Agrobacterium_Group	136	0.00003	0	0.00000	128	0.00004	0	0.00000	0	0.00000	0	0.00000	0	0.00000
