"OTUs"	"N2"	"N3"	"N4"	"E1"	"E3"	"E4"	"E5"
601	17466	262	13313	13	3117	0	0
602	0	0	44	0	0	0	0
603	155	0	0	132	31	0	0
604	78	42	632	0	0	0	12
605	96	0	0	0	0	0	0
606	565	12	605	0	51	0	0
607	95	0	22	0	0	0	0
608	31	0	0	0	0	0	0
609	501	0	3002	0	0	46	180
610	1199	241	3008	726	2077	125	1108
611	123	0	82	0	0	0	0
612	0	0	30	0	0	49	17
613	3207	0	31	15	0	0	0
614	57	0	27	0	0	0	0
615	1449	0	0	0	0	0	0
616	33	12	52	0	0	0	0
617	39	15	580	0	1158	0	0
618	37	50	99	80	0	0	0
619	0	0	0	87	0	0	0
620	630	0	0	0	0	0	0
621	105	12	3141	0	0	0	0
622	0	0	0	0	0	0	74
623	0	706224	25	0	52	0	17
624	492	1639	1827	32	1695	0	21
625	36	0	22	485	0	0	0
626	36	0	41	0	20	0	0
627	133	136	665	367	1476	0	239
628	11	0	24	0	0	0	1946
629	19	0	15	0	0	0	0
630	0	0	0	11	0	0	0
631	49	0	97	0	0	0	0
632	38	17	20	0	140	0	0
633	700	0	0	0	0	0	0
634	0	0	26	0	0	0	0
635	0	114	0	0	0	0	198
636	46	0	128	0	0	0	0
637	0	0	104	0	0	0	0
638	0	0	3262	0	0	0	0
639	13	0	0	0	0	0	0
640	27	0	0	0	0	0	0
641	0	0	10	0	969	0	0
642	40	0	0	0	0	0	0
643	0	0	0	0	0	0	0
644	0	0	694	12	0	0	0
645	0	0	42	0	0	0	0
646	0	15	11	0	0	0	0
647	0	0	264	0	0	0	0
648	1543	273	573	0	18	0	16
649	0	0	28	0	0	0	0
650	609	0	3585	2792	46	0	145
651	0	0	62	0	0	0	0
652	0	0	0	0	0	0	65
653	3215	0	1388	0	0	0	24208
654	132	0	298	0	17	0	10
655	0	0	62	0	0	43	0
656	0	16	0	0	0	0	0
657	0	2625	0	0	0	0	0
658	215	444	517	0	6499	0	503
659	89	0	0	0	0	0	0
660	603	0	0	0	0	0	791
661	74	76	271	0	2014	0	200
662	0	0	600	0	0	0	0
663	0	0	53	0	0	0	22
664	0	163	0	0	0	0	0
665	36	0	140	2803	0	0	0
666	26	0	50	0	0	0	99
667	0	0	309	0	66	0	0
668	0	0	53	0	0	0	0
669	0	0	83	0	0	0	0
670	21	0	37	0	202	0	43
671	0	37	165	0	80	0	0
672	0	41	151	0	0	0	46
673	174	0	96	0	0	0	0
674	0	0	0	0	0	0	14
675	0	0	62	0	0	0	0
676	2540	699	3623	931	763	23	174
677	61	0	0	0	0	0	0
678	0	0	0	0	24	0	0
679	48	16	78	0	0	0	84
680	52	207	105	0	788	0	19
681	35	0	131	0	73	0	0
682	108	0	691	0	2557	24	391
683	0	0	122	0	0	0	355
684	0	0	49	0	0	0	0
685	58	0	91	0	0	0	155
686	73422	0	3067	43	10	0	0
687	0	0	47	0	0	0	0
688	45	0	308	0	0	0	955
689	0	0	16	0	0	0	0
690	220	0	0	0	0	0	0
691	0	0	87	0	21	0	771
692	93	0	0	0	0	0	0
693	814	24	769	0	0	0	37
694	122	0	955	0	0	0	144
695	17	1993	15	0	152	0	0
696	675	0	73	0	0	0	19
697	0	0	74	0	0	0	0
698	0	0	429	0	0	0	0
699	0	0	0	0	0	0	0
700	0	0	360	0	0	0	0
701	0	0	38	0	392	35	0
702	1202	559	89	225	0	0	178
703	0	0	358	0	0	0	0
704	0	0	0	0	1531	0	0
705	50	15	135	100	0	0	300
706	0	0	0	0	0	0	33
707	132	0	75	0	20	0	82
708	0	0	179	0	12	0	0
709	0	11	43	0	0	0	0
710	526	1358	201	0	360	0	34
711	0	0	24	0	0	0	0
712	0	0	53	0	0	0	0
713	0	0	216	0	0	0	0
714	0	0	0	0	0	0	47
715	0	0	81	0	9045	0	0
716	18	0	0	0	0	0	0
717	0	0	26	0	0	32	45
718	114	0	0	0	0	0	0
719	0	0	0	0	17	0	0
720	0	0	41	0	0	0	0
721	33	0	20	0	0	0	0
722	293	0	277	0	1522	0	0
723	40	0	333	0	4281	0	0
724	718	0	56	0	0	6669	0
725	38	28	1994	0	1537	15	0
726	0	12	133	0	0	0	0
727	0	0	334	0	0	0	0
728	0	0	32	247	0	0	0
729	0	0	194	0	0	0	0
730	46	0	14	0	0	0	0
731	0	0	0	0	0	0	12
732	213	0	109	0	0	0	47
733	32	0	142	0	0	0	0
734	16	0	63	12	0	0	18
735	5499	0	62	0	35	0	0
736	14	0	11	0	0	0	0
737	0	0	27	0	0	0	0
738	22	0	0	0	0	0	0
739	0	36109	26	396	0	0	0
740	92	0	186	71	0	0	0
741	0	0	26	0	0	0	0
742	0	0	457	0	0	0	0
743	30	0	14	219	0	0	0
744	30	0	82	0	0	0	0
745	21	0	66	0	28	0	0
746	23	0	529	0	0	0	22
747	760	0	2695	42	1872	221	0
748	0	0	137	0	0	0	0
749	11	0	33	0	0	0	0
750	0	0	0	0	0	0	0
751	0	0	154	0	0	0	0
752	0	0	0	0	413	0	0
753	137	0	123	0	0	0	0
754	34	0	0	0	0	0	0
755	674	0	143	0	0	0	118
756	231	39	1564	0	0	10	145
757	28	0	85	0	0	0	0
758	73	77	0	8318	0	0	0
759	12	203	0	430	0	0	0
760	25	0	11	0	0	0	0
761	44	0	24	0	0	0	0
762	0	0	0	0	0	23	163
763	0	0	88	0	0	0	0
764	222	0	290	37	77	0	0
765	110	0	75	0	0	0	33
766	180	0	29	0	0	0	20
767	0	196	0	0	357	0	0
768	10	0	25	0	0	0	29
769	28	0	0	0	0	0	0
770	46	436	99	0	59	0	13
771	0	0	23	0	0	0	0
772	0	0	440	0	0	10	0
773	366	55	591	0	1129	0	12
774	80	0	0	0	0	0	0
775	17	0	0	0	0	0	0
776	0	0	0	0	191	0	0
777	48	0	41	19	0	0	48
778	41	0	409	14	0	0	0
779	0	0	373	394	0	0	0
780	0	0	13	0	0	0	0
781	302	0	99	0	0	0	0
782	17	0	223	0	37	0	0
783	39	0	62	0	0	0	0
784	0	0	194	0	0	0	0
785	16	0	59	0	0	0	0
786	0	0	31	0	0	0	0
787	0	0	44	0	0	0	0
788	0	0	0	246	0	0	0
789	20	0	2384	0	0	15	35
790	70	0	0	0	0	0	0
791	0	0	107	0	0	0	344
792	39	0	345	0	0	27	734
793	0	0	27	0	0	0	0
794	291	0	636	20	320	51	217
795	23	0	0	0	0	0	0
796	0	0	56	0	0	0	0
797	0	0	30	0	0	0	0
798	0	13	160	0	0	0	0
799	0	0	50	16	0	0	0
800	205	0	103	0	0	0	0
801	0	17	119	0	0	0	0
802	26	0	1049	0	0	0	0
803	0	0	0	0	0	0	17467
804	23	0	0	0	0	0	0
805	0	0	86	0	0	0	0
806	0	0	518	0	0	0	0
807	0	0	31	0	0	44	0
808	67	0	0	0	0	0	0
809	66	0	419	385	741	0	21
810	0	0	0	0	0	0	168
811	0	0	0	0	49	0	0
812	10	46	200	16	28	0	17
813	10	0	0	14604	0	0	0
814	70	0	59	0	0	0	0
815	0	0	0	0	14	24	25
816	2963	98	0	0	0	0	0
817	15	37	150	175	0	0	0
818	57	74	120	0	0	0	14
819	29	0	216	0	0	0	0
820	0	314	105	42	55	0	20
821	221	0	0	0	0	0	0
822	181	0	0	0	0	0	0
823	73	0	0	0	0	0	19
824	0	115	24	0	0	0	0
825	219	1026	199	0	0	0	0
826	25	0	118	48	13	0	18
827	416	0	0	0	0	0	0
828	0	0	35	0	0	33	0
829	16	38	52	12	0	0	80
830	21	0	54	0	0	0	0
831	156	0	927	0	0	0	98
832	0	0	28	0	0	0	261
833	0	0	56	0	0	0	0
834	18	0	72	0	0	0	0
835	91	0	85	0	335	0	0
836	0	0	19	0	0	0	0
837	50	0	73	0	0	84	0
838	0	0	0	969	0	0	0
839	0	0	89	0	0	0	0
